word,score,examples
نبر,60,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
نور,59,"بور ثور جور حور خور دور زور سور شور صور"
نار,57,"بار تار ثار جار حار خار دار زار سار شار"
نول,56,"اول بول جول حول خول دول رول زول سول شول"
حرر,55,"ارر برر جرر خرر درر ذرر زرر سرر شرر صرر"
نبل,55,"ابل جبل حبل خبل دبل ذبل ربل زبل سبل شبل"
شار,54,"بار تار ثار جار حار خار دار زار سار صار"
نال,54,"بال جال حال خال دال زال سال شال صال ضال"
نبب,54,"ابب تبب جبب حبب خبب دبب ذبب ربب زبب سبب"
حار,53,"بار تار ثار جار خار دار زار سار شار صار"
نفر,53,"جفر حفر خفر زفر سفر شفر صفر ضفر طفر ظفر"
نقر,52,"اقر بقر حقر سقر شقر صقر عقر فقر وقر نار"
حور,51,"بور ثور جور خور دور زور سور شور صور ضور"
رام,51,"تام جام حام دام ذام زام سام شام صام ضام"
ربب,51,"ابب تبب جبب حبب خبب دبب ذبب زبب سبب شبب"
عار,51,"بار تار ثار جار حار خار دار زار سار شار"
قرر,51,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
نهر,51,"اهر بهر جهر دهر زهر سهر شهر صهر طهر ظهر"
نوي,51,"اوي توي ثوي جوي حوي خوي دوي ذوي روي زوي"
برر,50,"ارر جرر حرر خرر درر ذرر زرر سرر شرر صرر"
حري,50,"بري ثري جري دري ذري زري سري شري صري ضري"
حوي,50,"اوي توي ثوي جوي خوي دوي ذوي روي زوي سوي"
عرر,50,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
فرر,50,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
نمر,50,"امر تمر ثمر جمر حمر خمر دمر ذمر زمر سمر"
رمم,49,"امم تمم ثمم جمم حمم خمم دمم ذمم زمم سمم"
روم,49,"جوم حوم دوم زوم سوم شوم صوم طوم عوم قوم"
روي,49,"اوي توي ثوي جوي حوي خوي دوي ذوي زوي سوي"
سرر,49,"ارر برر جرر حرر خرر درر ذرر زرر شرر صرر"
شرر,49,"ارر برر جرر حرر خرر درر ذرر زرر سرر صرر"
شور,49,"بور ثور جور حور خور دور زور سور صور ضور"
عور,49,"بور ثور جور حور خور دور زور سور شور صور"
نفف,49,"افف تفف جفف حفف خفف دفف ذفف رفف زفف سفف"
نوى,49,"اوى ثوى حوى خوى دوى ذوى روى زوى سوى شوى"
بار,48,"تار ثار جار حار خار دار زار سار شار صار"
روى,48,"اوى ثوى حوى خوى دوى ذوى زوى سوى شوى صوى"
سور,48,"بور ثور جور حور خور دور زور شور صور ضور"
قار,48,"بار تار ثار جار حار خار دار زار سار شار"
نكر,48,"اكر بكر حكر ذكر سكر شكر عكر فكر مكر وكر"
نهل,48,"اهل بهل جهل ذهل رهل سهل شهل صهل عهل كهل"
حبر,47,"ابر تبر ثبر جبر خبر دبر ذبر زبر سبر شبر"
حرب,47,"ارب ترب ثرب جرب خرب درب ذرب زرب سرب شرب"
خرر,47,"ارر برر جرر حرر درر ذرر زرر سرر شرر صرر"
سار,47,"بار تار ثار جار حار خار دار زار شار صار"
سبر,47,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر شبر"
سمر,47,"امر تمر ثمر جمر حمر خمر دمر ذمر زمر شمر"
شاب,47,"تاب ثاب جاب حاب خاب داب ذاب راب صاب طاب"
شال,47,"بال جال حال خال دال زال سال صال ضال طال"
عال,47,"بال جال حال خال دال زال سال شال صال ضال"
علل,47,"بلل تلل جلل حلل خلل دلل ذلل زلل سلل شلل"
عوي,47,"اوي توي ثوي جوي حوي خوي دوي ذوي روي زوي"
ملل,47,"بلل تلل جلل حلل خلل دلل ذلل زلل سلل شلل"
نجر,47,"اجر تجر حجر دجر زجر سجر شجر ضجر عجر فجر"
نفل,47,"افل تفل جفل حفل رفل سفل طفل غفل قفل كفل"
نقل,47,"ثقل حقل صقل عقل مقل نال نبل نثل نجل نحل"
نمل,47,"امل ثمل جمل حمل خمل دمل رمل زمل سمل شمل"
نوف,47,"اوف جوف حوف خوف دوف روف زوف سوف شوف صوف"
وري,47,"بري ثري جري حري دري ذري زري سري شري صري"
جرر,46,"ارر برر حرر خرر درر ذرر زرر سرر شرر صرر"
خلل,46,"بلل تلل جلل حلل دلل ذلل زلل سلل شلل صلل"
دار,46,"بار تار ثار جار حار خار زار سار شار صار"
درر,46,"ارر برر جرر حرر خرر ذرر زرر سرر شرر صرر"
راب,46,"تاب ثاب جاب حاب خاب داب ذاب شاب صاب طاب"
شرب,46,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب سرب"
عبر,46,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
ورد,46,"برد ثرد جرد حرد خرد زرد سرد شرد صرد طرد"
ورى,46,"ارى برى جرى حرى درى ذرى زرى سرى شرى عرى"
حام,45,"تام جام دام ذام رام زام سام شام صام ضام"
حرق,45,"ارق برق خرق درق ذرق زرق سرق شرق طرق عرق"
راد,45,"باد جاد حاد داد ذاد زاد ساد شاد صاد ضاد"
راف,45,"جاف حاف خاف داف ذاف زاف شاف صاف ضاف طاف"
ران,45,"بان جان حان خان دان زان شان صان ضان طان"
ربا,45,"ابا حبا خبا صبا طبا عبا قبا كبا نبا هبا"
روف,45,"اوف جوف حوف خوف دوف زوف سوف شوف صوف ضوف"
رول,45,"اول بول جول حول خول دول زول سول شول صول"
سلل,45,"بلل تلل جلل حلل خلل دلل ذلل زلل شلل صلل"
سمم,45,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
عرب,45,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب سرب"
عول,45,"اول بول جول حول خول دول رول زول سول شول"
فري,45,"بري ثري جري حري دري ذري زري سري شري صري"
لام,45,"تام جام حام دام ذام رام زام سام شام صام"
لوي,45,"اوي توي ثوي جوي حوي خوي دوي ذوي روي زوي"
ناب,45,"تاب ثاب جاب حاب خاب داب ذاب راب شاب صاب"
نحل,45,"احل رحل سحل شحل ضحل طحل فحل قحل كحل محل"
نمم,45,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
نوم,45,"جوم حوم دوم روم زوم سوم شوم صوم طوم عوم"
همم,45,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
ورب,45,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب سرب"
جار,44,"بار تار ثار حار خار دار زار سار شار صار"
حرا,44,"برا ثرا جرا درا ذرا سرا طرا عرا غرا قرا"
دور,44,"بور ثور جور حور خور زور سور شور صور ضور"
ربو,44,"ابو حبو خبو صبو طبو عبو غبو قبو كبو نبو"
رفف,44,"افف تفف جفف حفف خفف دفف ذفف زفف سفف شفف"
شام,44,"تام جام حام دام ذام رام زام سام صام ضام"
عري,44,"بري ثري جري حري دري ذري زري سري شري صري"
عوى,44,"اوى ثوى حوى خوى دوى ذوى روى زوى سوى شوى"
قرع,44,"برع ترع جرع خرع درع ذرع زرع سرع شرع صرع"
قري,44,"بري ثري جري حري دري ذري زري سري شري صري"
قور,44,"بور ثور جور حور خور دور زور سور شور صور"
مال,44,"بال جال حال خال دال زال سال شال صال ضال"
ناف,44,"جاف حاف خاف داف ذاف راف زاف شاف صاف ضاف"
نام,44,"تام جام حام دام ذام رام زام سام شام صام"
نبا,44,"ابا حبا خبا ربا صبا طبا عبا قبا كبا هبا"
نجل,44,"اجل بجل حجل خجل دجل رجل زجل سجل عجل وجل"
ندر,44,"ادر بدر جدر حدر خدر سدر صدر غدر قدر كدر"
نيل,44,"حيل خيل ذيل زيل سيل شيل عيل غيل فيل قيل"
